dir;receptor;fingerprint;model;mean_test_auc;mean_test_bal-acc;mean_test_acc;mean_test_mcc;mean_test_recall
data;5HT2A;3D_H;sAE_SoftMax;0.935;0.895;0.895;0.793;0.876
data;NOP;3D_noH;LogisticRegression;0.934;0.867;0.86;0.727;0.907
data;NOP;KRFP;RBF SVM;0.934;0.874;0.868;0.74;0.907
data;kappa;KRFP;Linear SVM;0.934;0.88;0.888;0.727;0.898
data;5HT2c;3D_H;LogisticRegression;0.934;0.844;0.864;0.694;0.905
data;5HT6;GraphOnly;LogisticRegression;0.934;0.858;0.913;0.632;0.929
data;catB;Ext;Linear SVM;0.934;0.855;0.856;0.714;0.825
pca_100;HIVrev;3D_H;RBF SVM;0.933;0.844;0.844;0.685;0.84
data;5HT2c;3D_noH;RBF SVM;0.933;0.853;0.882;0.729;0.939
data;5HT6;3D_H;RBF SVM;0.933;0.838;0.919;0.637;0.942
pca_100;kappa;3D_H;Linear SVM;0.933;0.863;0.847;0.663;0.829
data;HIVrev;Ext;RBF SVM;0.933;0.863;0.866;0.726;0.84
pca_100;NOP;3D_H;LogisticRegression;0.933;0.851;0.845;0.696;0.889
data;NOP;Ext;RBF SVM;0.933;0.886;0.876;0.763;0.944
data;NOP;Ext;Linear SVM;0.933;0.881;0.868;0.757;0.963
data;HIVprot;KRFP;Linear SVM;0.933;0.873;0.889;0.697;0.902
data;5HT2c;Ext;RBF SVM;0.933;0.852;0.867;0.708;0.905
data;catB;KRFP;Linear SVM;0.933;0.879;0.879;0.758;0.895
data;HIVprot;Ext;RBF SVM;0.933;0.876;0.917;0.75;0.946
data;HIVint;Ext;RBF SVM;0.933;0.932;0.97;0.873;0.879
data;5HT6;PubCh;RBF SVM;0.933;0.838;0.94;0.694;0.97
data;5HT6;Substr;RBF SVM;0.933;0.868;0.92;0.661;0.936
data;HIVrev;3D_H;RBF SVM;0.933;0.84;0.841;0.68;0.833
data;HIVprot;Ext;LogisticRegression;0.933;0.862;0.89;0.69;0.911
pca_0.9;5HT2c;3D_H;RBF SVM;0.932;0.837;0.862;0.687;0.914
pca_0.9;NOP;3D_H;LogisticRegression;0.932;0.851;0.845;0.694;0.889
